x,z,y
112.971,554.109,0.0
95.955,107.396,0.0
308.603,573.215,0.0
124.805,121.148,0.0
-116.067,207.061,0.0
106.675,177.553,0.0
486.475,245.209,0.0
295.618,595.239,0.0
134.128,203.253,0.0
425.990,645.775,0.0
356.706,185.881,0.0
345.370,576.807,0.0
457.074,564.187,0.0
117.093,478.398,0.0
274.877,735.266,0.0
120.552,645.831,0.0
430.632,573.329,0.0
343.360,488.858,0.0
40.693,334.610,0.0
523.393,160.820,0.0
-66.528,332.001,0.0
273.645,290.934,0.0
32.540,418.864,0.0
379.147,392.343,0.0
293.378,239.007,0.0
-121.530,481.904,0.0
-48.218,271.883,0.0
170.222,100.498,0.0
194.819,477.885,0.0
456.573,137.690,0.0
231.077,241.903,0.0
-80.733,629.124,0.0
493.205,156.432,0.0
384.564,255.429,0.0
216.005,536.385,0.0
-27.983,501.039,0.0
0.472,513.782,0.0
443.559,322.662,0.0
290.772,399.720,0.0
187.340,242.731,0.0
28.828,159.265,0.0
79.062,296.079,0.0
418.179,241.728,0.0
176.813,574.801,0.0
-105.208,325.935,0.0
297.427,78.608,0.0
450.447,578.674,0.0
430.042,220.070,0.0
496.186,326.943,0.0
55.017,293.471,0.0
225.755,21.935,0.0
82.692,320.888,0.0
472.921,466.747,0.0
284.796,774.584,0.0
470.094,286.138,0.0
407.524,539.333,0.0
213.198,595.358,0.0
483.883,204.368,0.0
404.340,157.132,0.0
573.438,511.131,0.0
71.676,587.755,0.0
299.787,133.374,0.0
-32.045,455.223,0.0
-3.866,342.579,0.0
203.450,65.990,0.0
323.861,255.946,0.0
15.153,296.385,0.0
433.039,262.970,0.0
181.142,434.939,0.0
252.478,373.314,0.0
39.510,199.462,0.0
